ID,YEAR,MONTH,VALUE,DMFLAG,QCFLAG,LATITUDE,LONGITUDE,STNELEV,NAME
ACW00011604,1961,1,-78,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,2,247,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,3,483,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,4,784,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,5,1139,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,6,1610,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,7,1581,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,8,1492,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
ACW00011604,1961,9,1424,,,0.9999999999999999,0.5536257749873634,0.003991617603033629,SAVE
AE000041196,1961,1,1956,,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,2,1971,,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,3,2248,,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,4,2365,,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,5,2865,,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,6,3126,,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,7,3376,E,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,8,3482,E,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AE000041196,1961,9,3208,E,,0.7119812946842057,0.6859813514851771,0.005588264644247082,SHARJAH_INTER_AIRP
AEM00041184,1961,1,1874,E,,0.7145032799128316,0.6872427384589914,0.005288893324019559,RAS_AL_KHAIMAH_INTE
AEM00041184,1961,2,1910,E,,0.7145032799128316,0.6872427384589914,0.005288893324019559,RAS_AL_KHAIMAH_INTE
AEM00041184,1961,3,2230,E,,0.7145032799128316,0.6872427384589914,0.005288893324019559,RAS_AL_KHAIMAH_INTE
